# Telescope Reflectivity with 2 silver mirrors
# Columns are (1) wavelength in nm and (2) reflectivity 0-1
# Source: https://www.gemini.edu/sciops/instruments/optics/Gemini_Optics_Reflectivity_Data.xlsx
# Data taken from GN sample from August 2013
# Update 17/05/2017 by A. Shugart at GS


Wavelength (nm)	Looking up
623	    0.911566827
623.5	0.91123902
624	    0.912009772
624.5	0.912143548
625 	0.911464159
625.5	0.911981548
626 	0.912259217
626.5	0.91219368
627	    0.912776631
627.5	0.912660985
628	    0.912755839
628.5	0.912403842
629	    0.912563793
629.5	0.913385717
630	    0.913290127
630.5	0.912645232
631	    0.913933837
631.5	0.913803732
632	    0.911943088
632.5	0.912884376
633	    0.913326875
633.5	0.914693542
634	    0.913974455
634.5	0.913920919
635	    0.91457118
635.5	0.913610345
636	    0.91451987
636.5	0.914207472
637	    0.914864275
637.5	0.914974451
638 	0.915696405
638.5	0.915817647
639	    0.915022152
639.5	0.916272988
640	    0.915465124
640.5	0.915860113
641	    0.916079733
641.5	0.916016424
642	    0.916281021
642.5	0.916133496
643	    0.915776988
643.5	0.916347225
644	    0.916185454
644.5	0.916211324
645	    0.915760205
645.5	0.916164934
646	    0.916696548
646.5	0.916571341
647	    0.916326365
647.5	0.917006495
648	    0.916508845
648.5	0.916515446
649	    0.916495771
649.5	0.917238647
650	    0.916489901
650.5	0.917521545
651	    0.91814388
651.5	0.917998782
652	    0.916641252
652.5	0.917978808
653	    0.917682775
653.5	0.917971955
654 	0.918112656
654.5	0.918060845
655	    0.917766151
655.5	0.918370318
656 	0.918219198
656.5	0.91855589
657	    0.919212489
657.5	0.919055714
658	    0.918246924
658.5	0.919214363
659	    0.919238511
659.5	0.91837008
660	    0.919463712
660.5	0.918952789
661	    0.919487406
661.5	0.91865574
662 	0.919540145
662.5	0.920405203
663	    0.919952641
663.5	0.919865709
664 	0.920463833
664.5	0.920108578
665 	0.920753798
665.5	0.920255526
666 	0.920148033
666.5	0.920745535
667 	0.920782579
667.5	0.922275151
668	    0.921056147
668.5	0.919893845
669	    0.921705856
669.5	0.921698925
670	    0.921487769
670.5	0.921732509
671	    0.92120329
671.5	0.921504916
672	    0.922050897
672.5	0.921864323
673	    0.92189171
673.5	0.922494284
674	    0.921418066
674.5	0.92252082
675 	0.922809515
675.5	0.922428949
676	    0.921977465
676.5	0.922355172
677	    0.923186696
677.5	0.922298551
678	    0.922762225
