# transmission of niri Narrow-band CH4 (short) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve 25may2006
#CH4(short)	G0228
#scanned cold and tilted by 5 degrees in NIRI
1792.596615   0.006208
1793.116692   0.005819
1793.636769   0.006432
1794.156846   0.006647
1794.676922   0.006489
1795.196999   0.006613
1795.717076   0.007232
1796.237153   0.007092
1796.757230   0.006950
1797.277306   0.007081
1797.797383   0.007851
1798.317460   0.008805
1798.837537   0.008882
1799.357614   0.009345
1799.877690   0.009473
1800.397767   0.010062
1800.917844   0.011988
1801.437921   0.013081
1801.957998   0.013888
1802.478074   0.014064
1802.998151   0.013853
1803.518228   0.015332
1804.038305   0.015934
1804.558381   0.015639
1805.078458   0.016361
1805.598535   0.016602
1806.118612   0.017514
1806.638689   0.018278
1807.158765   0.017164
1807.678842   0.019386
1808.198919   0.022120
1808.718996   0.023397
1809.239073   0.026477
1809.759149   0.025547
1810.279226   0.027946
1810.799303   0.027709
1811.319380   0.030184
1811.839457   0.031024
1812.359533   0.036989
1812.879610   0.036400
1813.399687   0.036158
1813.919764   0.037257
1814.439841   0.040403
1814.959917   0.042188
1815.479994   0.041081
1816.000071   0.042498
1816.520148   0.043127
1817.040224   0.043453
1817.560301   0.045442
1818.080378   0.049916
1818.600455   0.052666
1819.120532   0.050937
1819.640608   0.055312
1820.160685   0.057967
1820.680762   0.058466
1821.200839   0.060923
1821.720916   0.059345
1822.240992   0.069609
1822.761069   0.068611
1823.281146   0.067986
1823.801223   0.071810
