# transmission of niri Narrow-band CH4 (long) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced tophat with scanned transmission curve 25may2006
#CH4(long)	G0229
#scanned cold and tilted by 5 degrees in NIRI
1594.447358   0.037199
1594.967435   0.037656
1595.487511   0.039229
1596.007588   0.040898
1596.527665   0.040993
1597.047742   0.042107
1597.567819   0.043255
1598.087895   0.044187
1598.607972   0.045520
1599.128049   0.045724
1599.648126   0.046507
1600.168203   0.047330
1600.688279   0.048086
1601.208356   0.049727
1601.728433   0.050782
1602.248510   0.051850
1602.768587   0.053741
1603.288663   0.055494
1603.808740   0.056603
1604.328817   0.058606
1604.848894   0.059830
1605.368970   0.061507
1605.889047   0.063886
1606.409124   0.065868
1606.929201   0.067823
1607.449278   0.070108
1607.969354   0.072041
1608.489431   0.074692
1609.009508   0.078017
1609.529585   0.080556
1610.049662   0.083297
1610.569738   0.085543
1611.089815   0.087825
1611.609892   0.091919
1612.129969   0.095485
1612.650046   0.098741
1613.170122   0.102912
1613.690199   0.106280
1614.210276   0.109579
1614.730353   0.114283
1615.250430   0.120099
1615.770506   0.124784
1616.290583   0.131227
1616.810660   0.136556
1617.330737   0.141897
1617.850813   0.147923
1618.370890   0.155735
1618.890967   0.162257
1619.411044   0.168534
1619.931121   0.176073
1620.451197   0.185596
1620.971274   0.192793
1621.491351   0.200738
1622.011428   0.210612
1622.531505   0.221388
1623.051581   0.232044
1623.571658   0.241776
1624.091735   0.254622
1624.611812   0.267331
1625.131889   0.278429
1625.651965   0.294009
1626.172042   0.307628
1626.692119   0.321575
1627.212196   0.336295
1627.732273   0.353398
1628.252349   0.370476
1628.772426   0.387403
1629.292503   0.403146
1629.812580   0.422776
1630.332656   0.442470
1630.852733   0.462792
1631.372810   0.478484
1631.892887   0.500213
1632.412964   0.521511
1632.933040   0.540277
1633.453117   0.560120
1633.973194   0.581540
1634.493271   0.600831
1635.013348   0.621565
1635.533424   0.642170
1636.053501   0.663261
1636.573578   0.684089
1637.093655   0.701618
1637.613732   0.721802
1638.133808   0.739744
1638.653885   0.754186
1639.173962   0.776939
1639.694039   0.790892
1640.214115   0.803928
1640.734192   0.814318
1641.254269   0.826043
1641.774346   0.838058
1642.294423   0.845388
1642.814499   0.856170
1643.334576   0.864028
1643.854653   0.872488
1644.374730   0.876398
1644.894807   0.880478
1645.414883   0.886181
1645.934960   0.888305
1646.455037   0.891726
1646.975114   0.899326
1647.495191   0.909717
1648.015267   0.899046
1648.535344   0.894034
1649.055421   0.894644
1649.575498   0.894140
1650.095575   0.894015
1650.615651   0.891031
1651.135728   0.887678
1651.655805   0.887440
1652.175882   0.887838
1652.695958   0.885000
1653.216035   0.879179
1653.736112   0.881418
1654.256189   0.881290
1654.776266   0.877066
1655.296342   0.874739
1655.816419   0.876621
1656.336496   0.871831
1656.856573   0.870307
1657.376650   0.869453
1657.896726   0.868056
1658.416803   0.866453
1658.936880   0.866168
1659.456957   0.864161
1659.977034   0.864788
1660.497110   0.862642
1661.017187   0.864926
1661.537264   0.864605
1662.057341   0.864914
1662.577418   0.864877
1663.097494   0.863708
1663.617571   0.866318
1664.137648   0.866344
1664.657725   0.866857
1665.177801   0.865030
