#ED379-W  1%H short-prime  1.5945-1.6110um
#Cuton:  1593.5
#Cutoff: 1610.8
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1628.30   0.070016123
1628.40   0.060791492
1628.50   0.071247369
1628.60   0.042640306
1628.70   0.064531788
1628.80   0.057908311
1628.90   0.055778235
1629.00   0.059092231
1629.10   0.065748475
1629.20   0.045989409
1629.30   0.051542033
1629.40   0.058743440
1629.50   0.047713056
1629.60   0.059777997
1629.70   0.049434822
1629.80   0.052685060
1629.90   0.058783609
1630.00   0.057719514
1631.00   0.0
