# transmission of niri Narrow-band FeII filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve 25 May 2006
#[FeII]		G0215
#scanned cold and tilted by 5 degrees in NIRI
1742.669243   0.001758
1743.189320   0.001821
1743.709397   0.001998
1744.229474   0.001994
1744.749551   0.001982
1745.269627   0.001876
1745.789704   0.001822
1746.309781   0.001322
1746.829858   0.001548
1747.349934   0.001581
1747.870011   0.001565
1748.390088   0.001672
1748.910165   0.001524
1749.430242   0.001772
1749.950318   0.002416
1750.470395   0.002086
1750.990472   0.002006
1751.510549   0.002395
1752.030626   0.002256
1752.550702   0.002091
1753.070779   0.002163
1753.590856   0.002182
1754.110933   0.001423
1754.631010   0.001380
1755.151086   0.001212
1755.671163   0.000756
1756.191240   0.000797
1756.711317   0.000894
1757.231393   0.001017
1757.751470   0.000916
1758.271547   0.001313
1758.791624   0.001720
1759.311701   0.001751
1759.831777   0.001923
1760.351854   0.001788
1760.871931   0.001670
1761.392008   0.001274
1761.912085   0.001332
1762.432161   0.001741
1762.952238   0.001456
1763.472315   0.001308
1763.992392   0.001315
1764.512469   0.001344
1765.032545   0.001365
1765.552622   0.001052
1766.072699   0.000980
1766.592776   0.001657
1767.112853   0.001717
1767.632929   0.001643
1768.153006   0.001770
1768.673083   0.001753
1769.193160   0.001859
1769.713236   0.001504
1770.233313   0.001628
1770.753390   0.001377
1771.273467   0.001073
1771.793544   0.001009
1772.313620   0.001248
1772.833697   0.001206
1773.353774   0.000837
1773.873851   0.000714
1774.393928   0.000966
1774.914004   0.001307
1775.434081   0.001373
1775.954158   0.001451
1776.474235   0.001612
1776.994312   0.001953
1777.514388   0.001357
1778.034465   0.001438
1778.554542   0.001648
1779.074619   0.001340
1779.594696   0.001175
1780.114772   0.001261
1780.634849   0.001303
1781.154926   0.000981
1781.675003   0.000812
1782.195079   0.001025
1782.715156   0.000937
1783.235233   0.000767
1783.755310   0.001182
1784.275387   0.001299
1784.795463   0.001275
1785.315540   0.001385
1785.835617   0.001506
1786.355694   0.001930
1786.875771   0.001902
1787.395847   0.001343
1787.915924   0.001223
1788.436001   0.000947
1788.956078   0.000869
1789.476155   0.001445
1789.996231   0.001842
1790.516308   0.001162
1791.036385   0.001025
1791.556462   0.001524
1792.076539   0.002132
1792.596615   0.002763
1793.116692   0.002285
1793.636769   0.002196
1794.156846   0.002278
1794.676922   0.001901
1795.196999   0.002070
1795.717076   0.002864
1796.237153   0.001789
1796.757230   0.000592
1797.277306   0.001024
1797.797383   0.001229
