#ED449-W  4%H long  1.6199-1.6861um
#Cuton:  1619.45
#Cutoff: 1685.47
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1608.40   1.617545128
1608.50   1.696231365
1608.60   1.751618981
1608.70   1.791493177
1608.80   1.838001251
1608.90   1.909660220
1609.00   1.978197098
1609.10   2.039107800
1609.20   2.099091291
1609.30   2.148673058
1609.40   2.225887299
1609.50   2.304523468
1609.60   2.368878841
1609.70   2.421770096
1609.80   2.532370806
1609.90   2.608474731
1610.00   2.681591749
1610.10   2.766166687
1610.20   2.870612860
1610.30   2.965366602
1610.40   3.068722486
1610.50   3.122414351
1610.60   3.233816862
1610.70   3.345616579
1610.80   3.468405485
1610.90   3.590294361
1611.00   3.672727108
1611.10   3.819041729
1611.20   3.940043688
1611.30   4.062742233
1611.40   4.167585373
1611.50   4.320417881
1611.60   4.487465382
1611.70   4.605542660
1611.80   4.727087021
1611.90   4.886534214
1612.00   5.095154762
1612.10   5.246115208
1612.20   5.386137009
1612.30   5.573346615
1612.40   5.784704208
1612.50   6.010021687
1612.60   6.218049526
1612.70   6.396059513
1612.80   6.599904537
1612.90   6.827374458
1613.00   7.064399242
1613.10   7.225199699
1613.20   7.485974789
1613.30   7.810914516
1613.40   8.015693665
1613.50   8.251326561
1613.60   8.516553879
1613.70   8.881517410
1613.80   9.176569939
1613.90   9.426138878
1614.00   9.704742432
1614.10  10.095014570
1614.20  10.504628180
1614.30  10.793570520
1614.40  11.096951480
1614.50  11.512227060
1614.60  11.855652810
1614.70  12.269941330
1614.80  12.647358890
1614.90  12.934799190
1615.00  13.425220490
1615.10  13.949847220
1615.20  14.296762470
1615.30  14.694425580
1615.40  15.299865720
1615.50  15.849122050
1615.60  16.281669620
1615.70  16.737131120
1615.80  17.341115950
1615.90  18.078517910
1616.00  18.502326970
1616.10  19.003135680
1616.20  19.582561490
1616.30  20.311792370
1616.40  20.876338960
1616.50  21.458581920
1616.60  22.012556080
1616.70  22.769842150
1616.80  23.519485470
1616.90  24.127721790
1617.00  24.834005360
1617.10  25.586568830
1617.20  26.307332990
1617.30  27.085769650
1617.40  27.777555470
1617.50  28.606245040
1617.60  29.629335400
1617.70  30.475681300
1617.80  31.133014680
1617.90  31.920497890
1618.00  32.920291900
1618.10  33.677585600
1618.20  34.456573490
1618.30  35.258441930
1618.40  36.224670410
1618.50  37.204345700
1618.60  38.034145360
1618.70  38.818988800
1618.80  39.791168210
1618.90  40.976993560
1619.00  41.789588930
1619.10  42.662918090
1619.20  43.675453190
1619.30  44.864467620
1619.40  45.968189240
1619.50  46.917068480
1619.60  47.585445400
1619.70  48.808898930
1619.80  49.786964420
1619.90  50.687015530
1620.00  51.496826170
1620.10  52.405578610
1620.20  53.528308870
1620.30  54.554664610
1620.40  55.339431760
1620.50  56.233596800
1620.60  57.441650390
1620.70  58.299785610
1620.80  59.181720730
1620.90  59.990425110
1621.00  61.174877170
1621.10  62.239646910
1621.20  63.095474240
1621.30  63.985801700
1621.40  64.965934750
1621.50  65.968582150
1621.60  66.635833740
1621.70  67.320800780
1621.80  68.130790710
1621.90  69.069335940
1622.00  69.919898990
1622.10  70.787658690
1622.20  71.344329830
1622.30  72.333831790
1622.40  72.952514650
1622.50  73.597633360
1622.60  74.334770200
1622.70  75.109069820
1622.80  76.040115360
1622.90  76.649093630
1623.00  77.166839600
1623.10  77.827301030
1623.20  78.590148930
1623.30  79.291160580
1623.40  79.631278990
1623.50  80.136863710
1623.60  80.829078670
1623.70  81.322708130
1623.80  81.708786010
1623.90  81.972587590
1624.00  82.602867130
1624.10  83.152648930
1624.20  83.639724730
1624.30  83.982810970
1624.40  84.298957820
1624.50  85.024955750
1624.60  85.295967100
1624.70  85.733474730
1624.80  85.997558590
1624.90  86.380210880
1625.00  86.858535770
1625.10  87.110626220
1625.20  87.538047790
1625.30  87.700538640
1625.40  87.903327940
1625.50  88.224639890
1625.60  88.378936770
1625.70  88.670196530
1625.80  88.868103030
