#ED286-W  1%H short   1.5786-1.5945 um
#Cuton:  1575.22
#Cutoff: 1592.75
#
# Added 0.0 values at both ends for extrapolation. mdillman 2-18-09
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1602.60   0.578711450
1602.70   0.562004685
1602.80   0.543929935
1602.90   0.514850199
1603.00   0.496674001
1603.10   0.480435610
1603.20   0.471258670
1603.30   0.466828138
1603.40   0.440959543
1603.50   0.422652751
1603.60   0.403922975
1603.70   0.378754646
1603.80   0.383814961
1603.90   0.380499363
1604.00   0.365290612
1604.10   0.346434474
1604.20   0.338938057
1604.30   0.315644562
1604.40   0.319247425
1604.50   0.294172108
1604.60   0.302182287
1604.70   0.280219883
1604.80   0.276744306
1604.90   0.271720588
1605.00   0.263752669
1605.10   0.248681754
1605.20   0.236239076
1605.30   0.235271290
1605.40   0.227361217
1605.50   0.226397649
1605.60   0.208133668
1605.70   0.210105792
1605.80   0.210915580
1605.90   0.205410242
1606.00   0.187067732
1606.10   0.183368921
1606.20   0.202208191
1606.30   0.174501985
1606.40   0.173252493
1606.50   0.157973483
1606.60   0.156239867
1606.70   0.160859287
1606.80   0.153949156
1606.90   0.151859015
1607.00   0.141528070
1607.10   0.140487641
1607.20   0.138938889
1607.30   0.136536062
1607.40   0.131456062
1607.50   0.126983196
1607.60   0.126956478
1607.70   0.130164728
1607.80   0.107393622
1607.90   0.119851761
1608.00   0.118601777
1608.10   0.110116974
1608.20   0.113371477
1608.30   0.113315322
1608.40   0.099406458
1608.50   0.092392266
1608.60   0.107177183
1608.70   0.097979873
1608.80   0.102404632
1608.90   0.082917139
1609.00   0.091819584
1609.10   0.085816212
1609.20   0.081869751
1609.30  16.000000000
1609.40   0.074723206
1609.50   0.074160308
1609.60   0.072015166
1609.70   0.080167398
1609.80   0.070232213
1609.90   0.076331005
1610.00   0.077563971
1611.00   0.0
